elexon_bmu_id,ng_bmu_id,bmu_name,rated_mw,rated_mwh,duration_ratio_h,mwh_source,lead_party,identification_method,active_2024_25
T_BLWNB-1,BLWNB-1,Thornton Battery,200.0,400.0,2.0,MANUAL,Statkraft Markets Gmbh,name_keyword,False
T_THUPG-1,THUPG-1,T_THUPG-1,180.0,600.0,3.3333333333333335,MANUAL,THURROCK POWER LIMITED,fuelType=OTHER,False
T_LKSDB-1,LKSDB-1,Lakeside  BESS,105.0,200.0,1.9047619047619047,MANUAL,Lakeside Energy Storage Ltd,fuelType=OTHER,True
E_DOLLB-1,DOLLB-1,Dollymans Storage,102.0,200.0,1.9607843137254901,MANUAL,Dollymans Storage Limited,fuelType=OTHER,True
E_STALB-1,STALB-1,KXP Immingham BESS,80.844,,,MISSING,KXP Immingham Ltd,name_keyword,False
T_FERRB-2,FERRB-2,Ferrybridge BESS BMU-2,76.0,150.0,1.9736842105263157,MANUAL,SSE BATTERY SALISBURY LIMITED,fuelType=OTHER,False
T_FERRB-1,FERRB-1,Ferrybridge BESS BMU-1,76.0,150.0,1.9736842105263157,MANUAL,SSE BATTERY SALISBURY LIMITED,fuelType=OTHER,False
T_TYLNB-1,TYLNB-1,Tye Lane BESS,58.0,,,MISSING,Pivoted Power LLP,name_keyword,True
T_USKMB-5,USKMB-5,Uskmouth Battery Unit 5,57.5,115.0,2.0,MANUAL,E.ON UK Battery Storage,fuelType=OTHER,False
T_USKMB-3,USKMB-3,UES Asset 1 limited BMU1 BESS2,57.5,115.0,2.0,MANUAL,UES Asset 1 Limited,fuelType=OTHER,False
T_USKMB-2,USKMB-2,UES Asset 1 limited BMU1 BESS1,57.5,115.0,2.0,MANUAL,UES Asset 1 Limited,fuelType=OTHER,False
T_USKMB-4,USKMB-4,Uskmouth Battery Unit 4,57.5,115.0,2.0,MANUAL,E.ON UK Battery Storage,fuelType=OTHER,False
T_ENDRB-1,ENDRB-1,Enderby BESS,57.0,,,MISSING,Flexitricity Limited,fuelType=OTHER,False
E_WOLVB-1,WOLVB-1,Wolverhampton West BESS,56.0,,,MISSING,EDF Energy Customers Limited,name_keyword,False
2__FBPGM002,FBPG02,Hawthorn Pit BESS,55.4,,,MISSING,BP Gas Marketing Limited,name_keyword,True
T_BLHLB-4,BLHLB-4,T_BLHLB-4,54.42,108.84,2.0,MANUAL,ZENOBE BLACKHILLOCK LIMITED,fuelType=OTHER,True
T_BLHLB-3,BLHLB-3,T_BLHLB-3,54.0,108.0,2.0,MANUAL,ZENOBE BLACKHILLOCK LIMITED,fuelType=OTHER,True
T_BLPFB-1,BLPFB-1,Bulphan Fen Warley Green BESS,52.492,,,MISSING,EDF Energy Customers Limited,name_keyword,False
E_BERKB-2,BERKB-2,Berkeley BESS,52.0,,,MISSING,EDF Energy Customers Limited,name_keyword,False
E_BRETB-1,BRETB-1,Brentwood BESS,52.0,,,MISSING,EDF Energy Customers Limited,name_keyword,False
E_BERKB-1,BERKB-1,Berkeley BESS,52.0,,,MISSING,EDF Energy Customers Limited,name_keyword,False
E_BROFB-1,BROFB-1,Brook Farm BESS,52.0,,,MISSING,EDF Energy Customers Limited,name_keyword,True
E_BRETB-2,BRETB-2,Brentwood BESS,52.0,,,MISSING,EDF Energy Customers Limited,name_keyword,False
T_LARKB-1,LARKB-1,Larks Green Battery Storage,52.0,,,MISSING,EDF Energy Customers Limited,fuelType=OTHER,True
2__PLOND001,AG-PEDF01,EDFE Aggregate N Scot 1,52.0,,,MISSING,EDF Energy Customers Limited,fuelType=OTHER,True
E_NEWTB-1,NEWTB-1,Newton wood BESS,52.0,,,MISSING,EDF Energy Customers Limited,name_keyword,True
2__PFLEX002,AG-PFLX02,2__PFLEX002,51.398,,,MISSING,Flexitricity Limited,fuelType=OTHER,True
T_WISHB-1,WISHB-1,Wishaw BESS,51.0,,,MISSING,Zenobe Wishaw Limited,fuelType=OTHER,True
E_BURWB-1,BURWB-1,Burwell Weirs Drove BESS,50.533,,,MISSING,Arenko Cleantech Limited,fuelType=OTHER,True
T_COVNB-1,COVNB-1,Pivot Power Coventry,50.449,,,MISSING,Pivoted Power LLP,fuelType=OTHER,True
T_COWB-1,COWB-1,Cowley,50.431,,,MISSING,Pivoted Power LLP,fuelType=OTHER,True
T_BLHLB-2,BLHLB-2,T_BLHLB-2,50.42,100.0,1.9833399444664814,MANUAL,ZENOBE BLACKHILLOCK LIMITED,fuelType=OTHER,True
T_SUNDB-1,SUNDB-1,SUNDON BESS,50.246,,,MISSING,Pivoted Power LLP,name_keyword,True
T_WHLWB-1,WHLWB-1,Whitelee 1 Battery,50.2,,,MISSING,SP Renewables (UK) Limited,name_keyword,True
E_CHAPB-1,CHAPB-1,Chapel Farm BESS,50.169,,,MISSING,Tesla Motors Limited,name_keyword,True
E_LITRB-1,LITRB-1,Little Raith BESS,50.0,,,MISSING,Tesla Motors Limited,fuelType=OTHER,True
E_BROXB-1,BROXB-1,BroxburnBattery,50.0,,,MISSING,ENGIE Power Limited,fuelType=OTHER,False
T_BLHLB-1,BLHLB-1,T_BLHLB-1,50.0,100.0,2.0,MANUAL,ZENOBE BLACKHILLOCK LIMITED,fuelType=OTHER,True
T_LIONB-1,LionB-1,Wilton BESS,50.0,,,MISSING,Sembcorp (Wilton BESS) Ltd,name_keyword,False
T_LIONB-3,LionB-3,Wilton BESS,50.0,,,MISSING,Sembcorp (Wilton BESS) Ltd,name_keyword,False
T_LIONB-2,LionB-2,Wilton BESS,50.0,,,MISSING,Sembcorp (Wilton BESS) Ltd,name_keyword,False
E_ROARB-1,ROARB-1,Roaring Hill BESS,50.0,,,MISSING,Tesla Motors Limited,fuelType=OTHER,True
T_BRCHS-1,BRCHS-1,T_BRCHS-1,50.0,,,MISSING,Burwell 11 Solar Ltd,fuelType=OTHER,True
T_NLSTB-1,NLSTB-1,Neilston Battery 1,50.0,,,MISSING,Statkraft Markets Gmbh,fuelType=OTHER,False
T_BURWS-1,BURWS-1,Beechgreen Energy Farm,49.952,,,MISSING,EDF Energy Customers Limited,fuelType=OTHER,True
