elexon_bmu_id,ng_bmu_id,bmu_name,rated_mw,rated_mwh,duration_ratio_h,mwh_source,lead_party,identification_method,active_2024_25
T_BLWNB-1,BLWNB-1,Thornton Battery,200.0,400.0,2.0,MANUAL,Statkraft Markets Gmbh,name_keyword,False
T_LKSDB-1,LKSDB-1,Lakeside  BESS,105.0,200.0,1.9047619047619047,MANUAL,Lakeside Energy Storage Ltd,fuelType=OTHER,True
E_DOLLB-1,DOLLB-1,Dollymans Storage,102.0,200.0,1.9607843137254901,MANUAL,Dollymans Storage Limited,fuelType=OTHER,True
T_FERRB-1,FERRB-1,Ferrybridge BESS BMU-1,76.0,150.0,1.9736842105263157,MANUAL,SSE BATTERY SALISBURY LIMITED,fuelType=OTHER,False
T_FERRB-2,FERRB-2,Ferrybridge BESS BMU-2,76.0,150.0,1.9736842105263157,MANUAL,SSE BATTERY SALISBURY LIMITED,fuelType=OTHER,False
T_USKMB-2,USKMB-2,UES Asset 1 limited BMU1 BESS1,57.5,115.0,2.0,MANUAL,UES Asset 1 Limited,fuelType=OTHER,False
T_USKMB-3,USKMB-3,UES Asset 1 limited BMU1 BESS2,57.5,115.0,2.0,MANUAL,UES Asset 1 Limited,fuelType=OTHER,False
T_USKMB-4,USKMB-4,Uskmouth Battery Unit 4,57.5,115.0,2.0,MANUAL,E.ON UK Battery Storage,fuelType=OTHER,False
T_USKMB-5,USKMB-5,Uskmouth Battery Unit 5,57.5,115.0,2.0,MANUAL,E.ON UK Battery Storage,fuelType=OTHER,False
T_BLHLB-4,BLHLB-4,T_BLHLB-4,54.42,108.84,2.0,MANUAL,ZENOBE BLACKHILLOCK LIMITED,fuelType=OTHER,True
T_BLHLB-3,BLHLB-3,T_BLHLB-3,54.0,108.0,2.0,MANUAL,ZENOBE BLACKHILLOCK LIMITED,fuelType=OTHER,True
T_BLHLB-2,BLHLB-2,T_BLHLB-2,50.42,100.0,1.9833399444664814,MANUAL,ZENOBE BLACKHILLOCK LIMITED,fuelType=OTHER,True
T_BLHLB-1,BLHLB-1,T_BLHLB-1,50.0,100.0,2.0,MANUAL,ZENOBE BLACKHILLOCK LIMITED,fuelType=OTHER,True
